Date,NO2,Status,NOX,Status
2000-09-01,110,V ugm-3,644,V ugm-3
2000-09-02,51,V ugm-3,160,V ugm-3
2000-09-03,42,V ugm-3,103,V ugm-3
2000-09-04,94,V ugm-3,391,V ugm-3
2000-09-05,120,V ugm-3,577,V ugm-3
2000-09-06,91,V ugm-3,399,V ugm-3
2000-09-07,112,V ugm-3,646,V ugm-3
2000-09-08,94,V ugm-3,589,V ugm-3
2000-09-09,69,V ugm-3,339,V ugm-3
2000-09-10,78,V ugm-3,359,V ugm-3
2000-09-11,128,V ugm-3,438,V ugm-3
2000-09-12,89,V ugm-3,335,V ugm-3
2000-09-13,88,V ugm-3,387,V ugm-3
2000-09-14,98,V ugm-3,406,V ugm-3
2000-09-15,90,V ugm-3,365,V ugm-3
2000-09-16,50,V ugm-3,132,V ugm-3
2000-09-17,80,V ugm-3,408,V ugm-3
2000-09-18,101,V ugm-3,438,V ugm-3
2000-09-19,88,V ugm-3,317,V ugm-3
2000-09-20,108,V ugm-3,569,V ugm-3
2000-09-21,127,V ugm-3,660,V ugm-3
2000-09-22,117,V ugm-3,639,V ugm-3
2000-09-23,68,V ugm-3,221,V ugm-3
2000-09-24,87,V ugm-3,447,V ugm-3
2000-09-25,113,V ugm-3,568,V ugm-3
2000-09-26,113,V ugm-3,579,V ugm-3
2000-09-27,95,V ugm-3,555,V ugm-3
2000-09-28,120,V ugm-3,631,V ugm-3
2000-09-29,102,V ugm-3,441,V ugm-3
2000-09-30,90,V ugm-3,457,V ugm-3
2000-10-01,94,V ugm-3,508,V ugm-3
2000-10-02,84,V ugm-3,362,V ugm-3
2000-10-03,104,V ugm-3,543,V ugm-3
2000-10-04,102,V ugm-3,469,V ugm-3
2000-10-05,83,V ugm-3,338,V ugm-3
2000-10-06,65,V ugm-3,237,V ugm-3
2000-10-07,89,V ugm-3,476,V ugm-3
2000-10-08,56,V ugm-3,232,V ugm-3
2000-10-09,91,V ugm-3,444,V ugm-3
2000-10-10,97,V ugm-3,412,V ugm-3
2000-10-11,116,V ugm-3,487,V ugm-3
2000-10-12,115,V ugm-3,679,V ugm-3
